Event,Phase,Task ID,Task description,Task completed by the user,Task in list,Time
Start,Modifying Settings,NaN,NaN,NaN,NaN,0
End,Modifying Settings,NaN,NaN,NaN,NaN,3.934218
Start,Learning,NaN,NaN,NaN,NaN,3.934218
End,Learning,NaN,NaN,NaN,NaN,9.346537
Start,Doing Tasks,NaN,NaN,NaN,NaN,9.346537
Task Finished,Doing Tasks,2,Grab the plates that are on the kitchen table and store them in the cupboard next to the fridge.,Completed,Yes,39.75052
Task Finished,Doing Tasks,2,Grab the plates that are on the kitchen table and store them in the cupboard next to the fridge.,Completed,Yes,47.45751
Task Finished,Doing Tasks,2,Grab the plates that are on the kitchen table and store them in the cupboard next to the fridge.,Completed,Yes,50.27515
End,Doing Tasks,NaN,NaN,NaN,NaN,57.0346
Start,End,NaN,NaN,NaN,NaN,57.0346
Task Finished,Doing Tasks,6,Eat the apple that is inside the fridge,Not Completed,Yes,57.0346
Task Finished,Doing Tasks,7,Eat the watermelon that is inside the fridge,Not Completed,Yes,57.0346
Task Finished,Doing Tasks,5,Eat the lemon that is inside the fridge,Not Completed,Yes,57.0346
Task Finished,Doing Tasks,0,Tap the laptop to send an email.,Not Completed,Yes,57.0346
Task Finished,Doing Tasks,1,Grab the shoes next to the sofa and put them inside the washing machine.,Not Completed,Yes,57.0346
Task Finished,Doing Tasks,2,Grab the plates that are on the kitchen table and store them in the cupboard next to the fridge.,Not Completed,Yes,57.0346
Task Finished,Doing Tasks,3,Put the painting on the wall between the wardrobe and the bathroom door.,Not Completed,Yes,57.0346
Task Finished,Doing Tasks,4,Drink the coffee that is above the dishwasher,Not Completed,Yes,57.0346
